t,S,I,R
168.0,120.93040839793277,1.848220548060565,877.2213710540067
169.0,120.89745034417717,1.766432895490678,877.3361167603322
170.0,120.86595922141618,1.6882563175323448,877.4457844610514
171.0,120.83586952601424,1.6135320914237041,877.550598382562
172.0,120.8071186976005,1.542108408900227,877.6507728934994
173.0,120.77964698524598,1.4738400804035134,877.7465129343504
174.0,120.7533973198607,1.408588251465005,877.8380144286742
175.0,120.72831519250815,1.3462201308064374,877.9254646766855
176.0,120.70434853835403,1.2866087297120572,878.009042731934
177.0,120.68144762597822,1.2296326122409607,878.0889197617807
178.0,120.6595649517936,1.1751756558610786,878.1652593923453
179.0,120.63865513932784,1.1231268220995572,878.2382180385725
180.0,120.61867484313741,1.073379936817283,878.3079452200453
181.0,120.59958265713392,1.0258334797282318,878.3745838631378
182.0,120.58133902711334,0.9803903827969935,878.4382705900897
183.0,120.5639061672915,0.9369578371603545,878.499135995548
184.0,120.5472479806553,0.8954471082310858,878.5573049111136
185.0,120.53132998295223,0.8557733586541005,878.6128966583937
186.0,120.51611923014634,0.8178554787969212,878.6660252910567
187.0,120.50158424917967,0.7816159244678783,878.7167998263525
188.0,120.48769497188448,0.7469805615666719,878.7653244665489
189.0,120.4744226718998,0.7138785173828442,878.8116988107174
190.0,120.46173990445207,0.6822420382683296,878.8560180572796
191.0,120.44962044886877,0.6520063534205809,878.8983731977106
192.0,120.43803925369637,0.6231095445227745,878.938851201781
193.0,120.42697238430375,0.595492420997346,878.9775351946989
194.0,120.41639697285629,0.5690984006385047,879.0145046265052
195.0,120.40629117055049,0.5438733953985209,879.0498354340509
196.0,120.39663410200656,0.5197657021113979,879.083600195882
197.0,120.38740582171954,0.4967258979460843,879.1158682803344
198.0,120.37858727247301,0.47470674038963534,879.1467059871372
199.0,120.37016024562834,0.4536630715687011,879.176176682803
